isbn,title,author,category,imagelink
0824808738,"The Floating World","James Albert Michener",Art,http://books.google.com/books/content?id=EWH3P_CuEPsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0833747339,"Studies in Medieval Literature","Ruth Eloise Roberts","Arthurian romances",http://books.google.com/books/content?id=4UPKXKP36VAC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0836252861,"Protect Your Achilles Heel","Wess Roberts","Business & Economics",http://books.google.com/books/content?id=TeYupF02JokC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0836279786,"The Stephen King companion","Stephen King","Literary Criticism",http://books.google.com/books/content?id=27ghAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0836849892,"Children's Atlas of the World","Malcolm Porter","Juvenile Nonfiction",http://books.google.com/books/content?id=nsBUceQd970C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0836858697,Judaism,"Michael Keene","Juvenile Nonfiction",http://books.google.com/books/content?id=MPGq_sMy1mMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0836862651,Ghosts,"John Guy","Juvenile Nonfiction",http://books.google.com/books/content?id=oNsSidPg0vkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0838638317,"Making Sense of Shakespeare","Charles H. Frey","Literary Criticism",http://books.google.com/books/content?id=OAVQ08VPAoIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0840338384,"Learning to Read Naturally","Margaret Greer Jewell","Language acquisition",http://books.google.com/books/content?id=HRkCAAAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0847833410,Performing/guzzling,"Kim Gordon",Art,http://books.google.com/books/content?id=SYxJAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0849325641,"The Laboratory Guinea Pig","Donna J. Clemons",Medical,http://books.google.com/books/content?id=nR-mLSOQKp8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0856608653,"What Can I Do with a Teaching Qualification?","Catherine Maguire","College graduates",http://books.google.com/books/content?id=h0MDvGzELDwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0857059092,"The Girl in the Spider's Web","David Lagercrantz",,http://books.google.com/books/content?id=bgV2tgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0864317204,"School Refusal in Adolescence","David Heyne","School phobia",http://books.google.com/books/content?id=PXY2PQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
086473574X,"The Propaganda Poster Girl","Amy Brown",Poetry,http://books.google.com/books/content?id=9W4L6RhQU3gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0871296942,"The Pearl","John Steinbeck",,http://books.google.com/books/content?id=v8P-MPdwgI8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0871564912,"Desert Song","Tony Johnston","Juvenile Fiction",http://books.google.com/books/content?id=Css71szMpMMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0872862798,"Annie Oakley's Girl","Rebecca Brown",Fiction,http://books.google.com/books/content?id=3ft6FhMdHFYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0872863441,"The Dogs","Rebecca Brown",Fiction,http://books.google.com/books/content?id=ONboWYuE-VoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0872864189,"The End of Youth","Rebecca Brown",Fiction,http://books.google.com/books/content?id=u8cfZgOJPQgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
087286460X,"The Haunted House","Rebecca Brown",Fiction,http://books.google.com/books/content?id=GLbaXaXCS8AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0874415888,"עברית חדשה לתודעת תפלה","Pearl Tarnor","Hebrew language",http://books.google.com/books/content?id=OEsfDvZ3_LIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0876149069,Pocahontas,"Shannon Zemlicka","Juvenile Nonfiction",http://books.google.com/books/content?id=1e-FqghRX18C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0878052666,"Katherine Anne Porter","Katherine Anne Porter","Biography & Autobiography",http://books.google.com/books/content?id=mo5yYXYIfyUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0878053603,"Conversations with John Steinbeck","John Steinbeck","Biography & Autobiography",http://books.google.com/books/content?id=mY98rl2LiuEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0878056920,"Conversations with Toni Morrison","Toni Morrison","Biography & Autobiography",http://books.google.com/books/content?id=iYvE9-i_g9AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0878339426,"Does My Child Need a Therapist?","Colleen Alexander-Roberts",Medical,http://books.google.com/books/content?id=qWEBAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0878910433,"William Shakespeare's Richard II","Michael Morrison","Literary Criticism",http://books.google.com/books/content?id=nuUkI0yAtIcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0881924814,Orchids,"Joyce Stewart",Gardening,http://books.google.com/books/content?id=11jKZ8812vcC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0886802164,"Making It","Hindi Brooks","Children's plays",http://books.google.com/books/content?id=fhA7dVUOvdUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0890244235,"Trackside Scenes You Can Model","Jim Kelly","Crafts & Hobbies",http://books.google.com/books/content?id=LJ5YrdXn8DIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
089391245X,"Learning Mathematics","Robert Benjamin Davis",Education,http://books.google.com/books/content?id=CbJ_uxtS6rAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0929261291,"Comic strip fun","Carolyn Davis",Architecture,http://books.google.com/books/content?id=mJsNpIFocZkC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0932551378,"Easy Marijuana Gardening","Ed Rosenthal",Gardening,http://books.google.com/books/content?id=5BrC0-PwdNMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0932826822,"Less of Her","Paula McLain",Poetry,http://books.google.com/books/content?id=iQHoS9dbQDwC&printsec=frontcover&img=1&zoom=5&source=gbs_api
0933549016,"A Guidebook to Lighthouses in North and South Carolina, Georgia, and Florida's East Coast","Rudy Kagerer",Lighthouses,http://books.google.com/books/content?id=f5lIPQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0934041229,"Pipe and Excavation Contracting","Dave Roberts","Technology & Engineering",http://books.google.com/books/content?id=SJxE3N8J6VsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0934257973,"The Struggle to Adore","Alane Rollings",Poetry,http://books.google.com/books/content?id=o1BbAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0940450186,"Poetry and Tales","Edgar Allan Poe","Literary Collections",http://books.google.com/books/content?id=2F5pqu2SRrUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0953960455,"Captain Cohonny","W. A. Maguire","Biography & Autobiography",http://books.google.com/books/content?id=F6owSuH-qmYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0961144440,"Consensus in the Classroom","Linda Sartor",Education,http://books.google.com/books/content?id=5cBlv2AN6RYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0961366389,"Conversations with JC","Grady Claire Porter","Body, Mind & Spirit",http://books.google.com/books/content?id=oS37qjpSAUwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0972927638,"Following Jesus","Dave Roberts",Religion,http://books.google.com/books/content?id=r7KKBCK9l90C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0982157649,"Moccasin Tracks","Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=QHHLygAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0982157681,"Land for Love and Money, Volume Two","Reid Lance Rosenthal","Business & Economics",http://books.google.com/books/content?id=nneVMAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0982431597,"Disturbing Innocence","Eric Fischl","Art, Modern",
0984023011,"Oslo, Texas","Matias Faldbakken",Art,http://books.google.com/books/content?id=w6J5kwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0985591196,"47 Decembers","Dan Rafter","COMICS & GRAPHIC NOVELS",http://books.google.com/books/content?id=gmL32I1FgKsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
0988706040,"Threads West","Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=sPVAnQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0988706059,"Mocassin Tracks","Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=tHFcngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0988706083,Footsteps,"Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=1PPdngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0988706091,"Blood at Glorieta Pass","Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=ZNfyoAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0990324575,"A Day of Fire","Stephanie Dray",Fiction,http://books.google.com/books/content?id=Rwa3oQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0990700305,"Maps of Fate","Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=mjsoswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
0990700313,Uncompahgre,"Reid Lance Rosenthal",Fiction,http://books.google.com/books/content?id=WLh3tAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1078874563,"Margaret Yates","Margaret Yates",Magicians,
1080797615,"Occupational Health and Safety Standards and the Potential Outcomes of Privatized Regulation","Liam McCarthy",,
1101019689,"Practice Makes Perfect","Julie James",Fiction,http://books.google.com/books/content?id=DTtlyCvh6u4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101043504,"24 Hours","Greg Iles",Fiction,http://books.google.com/books/content?id=_BkG2qSIcLMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101043857,"Paper Money","Ken Follett",Fiction,http://books.google.com/books/content?id=NSPC4yl3CTEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101057319,Medusa,"Clive Cussler",Fiction,http://books.google.com/books/content?id=ww3gaMzO3NkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101060190,"Below Zero","C. J. Box",Fiction,http://books.google.com/books/content?id=a-YirRix3uwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
110107714X,"Nancy Drew 13: The Mystery of the Ivory Charm","Carolyn Keene","Juvenile Fiction",http://books.google.com/books/content?id=1LAuYCsvh3kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101077360,"Nancy Drew 35: The Haunted Showboat","Carolyn Keene","Juvenile Fiction",http://books.google.com/books/content?id=_113YVdnTSkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
110112668X,"Night over Water","Ken Follett",Fiction,http://books.google.com/books/content?id=3Ks7JQZEe9YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101146125,Sanctuary,"Nora Roberts",Fiction,http://books.google.com/books/content?id=WFr-jm-CcoIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101146362,"Black Cross","Greg Iles",Fiction,http://books.google.com/books/content?id=ouVHDmEQYXsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101146672,"Moon Shadows","Nora Roberts",Fiction,http://books.google.com/books/content?id=wG1xcp_fYDwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101161876,"Dead Sleep","Greg Iles",Fiction,http://books.google.com/books/content?id=4jr4t48IgZgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101185805,"Something About You","Julie James",Fiction,http://books.google.com/books/content?id=PRi6bl07_b0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101188782,"The Rembrandt Affair","Daniel Silva",Fiction,http://books.google.com/books/content?id=V9UkDlzc1iwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101191120,"Once upon a Dream","Nora Roberts",Fiction,http://books.google.com/books/content?id=mUMup2qJs8AC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101204591,Winterkill,"C. J. Box",Fiction,http://books.google.com/books/content?id=dyc5i-XHlzgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101204966,"Trophy Hunt","C. J. Box",Fiction,http://books.google.com/books/content?id=t43zgJ4MPfEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101217375,"My Friend Leonard","James Frey","Biography & Autobiography",http://books.google.com/books/content?id=KunTApO0QL8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101434643,"Skein of the Crime","Maggie Sefton",Fiction,http://books.google.com/books/content?id=DxYBMJmrENUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101444894,"Double Knit Murders","Maggie Sefton",Fiction,http://books.google.com/books/content?id=C6D7sPIYmM0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101463805,"Open Season","C. J. Box",Fiction,http://books.google.com/books/content?id=5xeBNCgbUekC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101464399,"Bicycle Diaries","David Byrne",Travel,http://books.google.com/books/content?id=5Ar9V-4z9PwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101475692,"A Discovery of Witches","Deborah Harkness",Fiction,http://books.google.com/books/content?id=DVMsjPtMfqMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101477059,"Curiosity Thrilled the Cat","Sofie Kelly",Fiction,http://books.google.com/books/content?id=FDjcEQ8DVtMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
110147730X,"A Lot Like Love","Julie James",Fiction,http://books.google.com/books/content?id=S1A_KdKUIocC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101478322,"Lily of the Nile","Stephanie Dray",Fiction,http://books.google.com/books/content?id=WHI76fTP95YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101486465,"Cold Wind","C. J. Box",Fiction,http://books.google.com/books/content?id=BHEWSQd1a3cC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101515376,"What Alice Forgot","Liane Moriarty",Fiction,http://books.google.com/books/content?id=8iBGzeqj45YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101528788,"Tinker, Tailor, Soldier, Spy","John le Carré",Fiction,http://books.google.com/books/content?id=MFEajdUgSnMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101535296,"Smiley's People","John le Carré",Fiction,http://books.google.com/books/content?id=qeo3HWEVqWYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101535334,"The Little Drummer Girl","John le Carré",Fiction,http://books.google.com/books/content?id=RH4_-M1_3x8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101535458,"A Perfect Spy","John le Carré",Fiction,http://books.google.com/books/content?id=1i1b1jWKsEsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101543981,"Sleight of Paw","Sofie Kelly",Fiction,http://books.google.com/books/content?id=5hrSRSEmuJEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1101872004,"The Girl in the Spider's Web","David Lagercrantz",Fiction,http://books.google.com/books/content?id=51tAjwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1107469201,"Cambridge English Empower Advanced Teacher's Book","Wayne Rimmer","Foreign Language Study",http://books.google.com/books/content?id=Vq7hjgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1153380269,"The Genealogy of the Brainerd-Brainard Family in America, 1649-1908","Lucy Abigail Brainard",,
1250045142,"The Other Story","Tatiana de Rosnay",Fiction,http://books.google.com/books/content?id=b_livgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250051061,"Paradise Valley","C. J. Box",Fiction,http://books.google.com/books/content?id=LSPWtwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250060974,"My Name Is Resolute","Nancy E. Turner",Fiction,http://books.google.com/books/content?id=t-B6oAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250064937,Insomniac,"Pasquale Rotella","Biography & Autobiography",http://books.google.com/books/content?id=xje4oQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250077605,"Bring Up the Bodies: The Conclusion to PBS Masterpiece's Wolf Hall","Hilary Mantel",Fiction,http://books.google.com/books/content?id=dCbFrQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250098831,"A Death in the Dales","Frances Brody",Fiction,http://books.google.com/books/content?id=eOrqtwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250141427,"Emma in the Night","Wendy Walker",Fiction,http://books.google.com/books/content?id=lSJJswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250154707,"One Thousand White Women (20th Anniversary Edition)","Jim Fergus",Fiction,http://books.google.com/books/content?id=60EyMQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250184878,"Pride and Passion","Nora Roberts",Fiction,http://books.google.com/books/content?id=h1g2swEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1250207746,"The Severed Moon","Leigh Bardugo",Self-Help,http://books.google.com/books/content?id=ssumugEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1295980002,"The Genealogy of the Brainerd-Brainard Family in America, 1649-1908 - Scholar's Choice Edition","Lucy Abigail Brainard",,http://books.google.com/books/content?id=nZxDrgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
132863907X,"We the Animals","Justin Torres",Fiction,http://books.google.com/books/content?id=0u3NvQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1338229303,"Five Nights at Freddy's: Survival Logbook","Scott Cawthon","Juvenile Nonfiction",http://books.google.com/books/content?id=3odKswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1341920402,"Catalogue of Chinese Rubbings from Field Museum Volume Fieldiana, Anthropology, New Series","Hartmut Walravens",NULL,http://books.google.com/books/content?id=tKCajgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1357285620,"The Book of Lincoln","Mary Wright-Davis",NULL,http://books.google.com/books/content?id=AwFDDQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
136801335X,"Dragon Pearl","Yoon Ha Lee","Juvenile Fiction",http://books.google.com/books/content?id=tsLTswEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1400033438,Sula,"Toni Morrison",Fiction,http://books.google.com/books/content?id=lJ9iAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1400050804,"The Zombie Survival Guide","Max Brooks",Humor,http://books.google.com/books/content?id=4mcT7A371xQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1401324649,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared","Jonas Jonasson",Fiction,http://books.google.com/books/content?id=YEZUuQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1402705824,"Challenging Acrostic Puzzles","Anne Brown",Games,http://books.google.com/books/content?id=XlO2KmFyrvwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402710100,"Beginner's Guide to Crystals","Denise Whichello Brown","Body, Mind & Spirit",http://books.google.com/books/content?id=ZR8zUxs_FIAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402710763,"Cleverest Comebacks Ever","Philip Yates","Juvenile Nonfiction",http://books.google.com/books/content?id=_Bjbe0xqN2gC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402715153,"Edgar Allan Poe","Edgar Allan Poe","Juvenile Fiction",http://books.google.com/books/content?id=JBv-bocMY9IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402725418,"Astounding Acrostic Puzzles","Anne Brown",Games,http://books.google.com/books/content?id=mkUakuSFZfkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402740956,"Mensa Brain Bafflers","Philip J. Carter",Games,http://books.google.com/books/content?id=dXtPGxzkaVgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1402758723,Soccer,"Mary Beth Roberts","Sports & Recreation",http://books.google.com/books/content?id=8F9oPgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
1402768745,Existentialism,"Thomas Flynn",Philosophy,http://books.google.com/books/content?id=uTW7Ln0UkwoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1403441812,Immigration,"Philip Brooks","Juvenile Nonfiction",http://books.google.com/books/content?id=4VFFQpbmlYIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1403498296,Communication,"Vicki Yates","Juvenile Nonfiction",http://books.google.com/books/content?id=W7GuOPifSY4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
140349830X,Buildings,"Vicki Yates","Juvenile Nonfiction",http://books.google.com/books/content?id=IXO_Yn9y2GUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1404206728,"A Primary Source History of the Colony of Maryland","Liz Sonneborn","Juvenile Nonfiction",http://books.google.com/books/content?id=fOpmJR8FGgsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1404206744,"A Primary Source History of the Colony of Georgia","Liz Sonneborn","Juvenile Nonfiction",http://books.google.com/books/content?id=vd2xFWKcPTIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1404276580,"Dealing with Bullying / Qué hacer con los bravucones","Marianne Johnston","Juvenile Nonfiction",http://books.google.com/books/content?id=jmsu3NqlETEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1405200529,"An Interview with J.K. Rowling","J. K. Rowling","Authors, English",http://books.google.com/books/content?id=w8MlAAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
141092338X,Vietnam,"Aleta Moriarty","Juvenile Nonfiction",http://books.google.com/books/content?id=CxmwDPAnWy4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
141092775X,Crystals,"Rebecca Faulkner","Juvenile Nonfiction",http://books.google.com/books/content?id=-eIlQA1WBR8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1412934249,"Developing Language and Literacy with Young Children","Marian R Whitehead",Education,http://books.google.com/books/content?id=CXhgVRTp4UMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1420045032,"Determining Project Requirements","Hans Jonasson","Business & Economics",http://books.google.com/books/content?id=3749asvGccoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429900598,"An Experiment in Love","Hilary Mantel",Fiction,http://books.google.com/books/content?id=whiEs5ocs3YC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429900601,"A Change of Climate","Hilary Mantel",Fiction,http://books.google.com/books/content?id=kpgm2HGOqigC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
142990061X,"Eight Months on Ghazzah Street","Hilary Mantel",Fiction,http://books.google.com/books/content?id=pF8WXOjStRMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429900628,Fludd,"Hilary Mantel",Fiction,http://books.google.com/books/content?id=70qztKy5lLwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429944862,"For Rouenna","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=k9pjOM04IOkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429944943,"A Feather on the Breath of God","Sigrid Nunez",Fiction,http://books.google.com/books/content?id=_MCmmPxxSlgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429945508,"The Boy from Ilysies","Pearl North","Young Adult Fiction",http://books.google.com/books/content?id=Ai1iswFuPWQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429947624,"Franny Parker","Hannah Roberts McKinnon","Juvenile Fiction",http://books.google.com/books/content?id=Iqm0OFqv5OwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429954507,"Every Day Is Mother's Day","Hilary Mantel",Fiction,http://books.google.com/books/content?id=WDlq-5EHIi0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429960175,Libyrinth,"Pearl North","Young Adult Fiction",http://books.google.com/books/content?id=u3S7nowpdicC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429967846,Impact,"Douglas Preston",Fiction,http://books.google.com/books/content?id=gxU0P7bsBIYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1429989262,"The Properties of Water","Hannah Roberts McKinnon","Young Adult Fiction",http://books.google.com/books/content?id=sbiC0dSqrY0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1434226077,"Beware Our Power!","Scott Sonneborn","Juvenile Fiction",http://books.google.com/books/content?id=EHR1IosP7_IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1434704165,"The Grace Outpouring","Roy Godwin",Religion,http://books.google.com/books/content?id=MRYCX3ZdE8IC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1435166787,"Tales of the Samurai","A. B. Mitford",NULL,NULL
1440620962,"The Vision","Dean Koontz",Fiction,http://books.google.com/books/content?id=Q8TpCuhBCZMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1440622639,"Needled to Death","Maggie Sefton",Fiction,http://books.google.com/books/content?id=2xSrvKyU7wsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1440627878,"The Unlikely Spy","Daniel Silva",Fiction,http://books.google.com/books/content?id=8ypFVw4IPZAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1440627886,"The Mark of the Assassin","Daniel Silva",Fiction,http://books.google.com/books/content?id=P6OhnetFSEsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1440627894,"The Marching Season","Daniel Silva",Fiction,http://books.google.com/books/content?id=0eiBA9HHincC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1440634343,"Prince of Fire","Daniel Silva",Fiction,http://books.google.com/books/content?id=bKHdbGLamgUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
144067387X,Steinbeck,"John Steinbeck","Literary Collections",http://books.google.com/books/content?id=jrbmSemfAdYC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1443450448,"100-Year Old Man","Jonas Jonasson",Fiction,NULL
1444739255,"Broken Harbour - Bound Proof","Tana French",,
1446242277,"Doing and Writing Action Research","Jean McNiff",Reference,http://books.google.com/books/content?id=ApFzPt7uBCoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1452005583,"A Reasonable Person","Walter Davis","Family & Relationships",http://books.google.com/books/content?id=a_UWGRHlVIMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1453583203,"A Chef's Delight","Rita Roberts",Fiction,http://books.google.com/books/content?id=pjmGul9mUH4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api
1454930624,"Rock-And-Roll Woman","Meredith Ochs",NULL,http://books.google.com/books/content?id=XjwhtAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api
